name,start,end,speaker,text,amplitude,val,act,dom,disc_emo,emo_class,substantivos,topic,loud_voice
audio0.wav,4.465,11.447,SPEAKER_00, Good evening from the health education campus of Case Western Reserve University and the Cleveland Clinic.,0.9683325,0.34,0.31,0.48,"[{'Emotion': 'anger', 'Score': '26.0%'}, {'Emotion': 'disgust', 'Score': '2.7%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '70.8%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",happiness,"['good', 'evening', 'health', 'education', 'campus', 'case', 'western', 'reserve', 'university', 'cleveland', 'clinic']",campus,True
audio1.wav,11.447,22.111,SPEAKER_00,I'm Chris Wallace of Fox News and I welcome you to the first of the 2020 presidential debates between President Donald J. Trump and former Vice President Joe Biden.,0.5282777,0.58,0.39,0.54,"[{'Emotion': 'anger', 'Score': '97.7%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '1.8%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",anger,"['chris', 'wallace', 'fox', 'news', '2020', 'presidential', 'debates', 'president', 'donald', 'j', 'trump', 'former', 'vice', 'president', 'joe', 'biden']",2020,False
audio2.wav,23.069,27.012,SPEAKER_00, This debate is sponsored by the Commission on Presidential Debates.,0.48068452,0.02,0.24,0.38,"[{'Emotion': 'anger', 'Score': '98.3%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '0.9%'}, {'Emotion': 'sadness', 'Score': '0.5%'}]",anger,"['debate', 'commission', 'presidential', 'debates']",debate,False
audio3.wav,27.012,39.603,SPEAKER_00,"The Commission has designed the format, six roughly 15-minute segments, with two-minute answers from each candidate to the first question, then open discussion for the rest of each segment.",0.57262826,0.22,0.33,0.46,"[{'Emotion': 'anger', 'Score': '86.5%'}, {'Emotion': 'disgust', 'Score': '0.5%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '12.7%'}, {'Emotion': 'sadness', 'Score': '0.2%'}]",anger,"['commission', 'format', 'six', 'roughly', '15', 'minute', 'segments', 'two', 'minute', 'answers', 'candidate', 'first', 'question', 'open', 'discussion', 'rest', 'segment']",six,True
audio4.wav,39.603,42.005,SPEAKER_00,Both campaigns have agreed to these rules.,0.56674516,-0.36,0.23,0.41,"[{'Emotion': 'anger', 'Score': '33.8%'}, {'Emotion': 'disgust', 'Score': '0.9%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '64.8%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",happiness,"['campaigns', 'rules']",campaigns,True
audio5.wav,42.762,48.046,SPEAKER_00," For the record, I decided the topics and the questions in each topic.",0.57037306,0.21,0.22,0.34,"[{'Emotion': 'anger', 'Score': '84.3%'}, {'Emotion': 'disgust', 'Score': '0.6%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '14.5%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",anger,"['record', 'topics', 'questions', 'topic']",record,True
audio6.wav,48.046,54.25,SPEAKER_00,"I can assure you, none of the questions has been shared with the commission or the two candidates.",0.6083202,-0.09,0.26,0.45,"[{'Emotion': 'anger', 'Score': '44.7%'}, {'Emotion': 'disgust', 'Score': '6.8%'}, {'Emotion': 'fear', 'Score': '0.4%'}, {'Emotion': 'happiness', 'Score': '46.9%'}, {'Emotion': 'sadness', 'Score': '1.3%'}]",disgust,"['none', 'questions', 'commission', 'two', 'candidates']",candidates,True
audio7.wav,54.25,65.478,SPEAKER_00,"This debate is being conducted under health and safety protocols designed by the Cleveland Clinic, which is serving as the health security advisor to the commission for all four debates.",0.57023746,0.16,0.25,0.42,"[{'Emotion': 'anger', 'Score': '97.4%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '2.0%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",anger,"['debate', 'health', 'safety', 'protocols', 'cleveland', 'clinic', 'health', 'security', 'advisor', 'commission', 'four', 'debates']",debate,True
audio8.wav,65.478,71.943,SPEAKER_00,"As a precaution, both campaigns have agreed that candidates will not shake hands at the beginning of tonight's debate.",0.56497663,-0.15,0.38,0.51,"[{'Emotion': 'anger', 'Score': '98.3%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '1.1%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",anger,"['precaution', 'campaigns', 'candidates', 'hands', 'beginning', 'tonight', 's', 'debate']",precaution,True
audio9.wav,72.947,76.248,SPEAKER_00, The audience here in the hall has promised to remain silent.,0.6847912,-0.19,0.26,0.36,"[{'Emotion': 'anger', 'Score': '98.1%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '1.3%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",anger,"['audience', 'hall']",hall,True
