name,start,end,speaker,text,amplitude,val,act,dom,disc_emo,emo_class,substantivos,topic,loud_voice
audio0.wav,0.569,19.622,SPEAKER_01," I'm Jim Lehrer of the PBS NewsHour, and I welcome you to the first of the 2012 presidential debates between President Barack Obama, the Democratic nominee, and former Massachusetts Governor Mitt Romney, the Republican nominee.",0.5905628,0.36,0.31,0.45,"[{'Emotion': 'anger', 'Score': '94.9%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '4.5%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",anger,"['jim', 'lehrer', 'pbs', 'newshour', '2012', 'presidential', 'debates', 'president', 'barack', 'obama', 'democratic', 'nominee', 'former', 'massachusetts', 'governor', 'mitt', 'romney', 'republican', 'nominee']",2012,True
audio1.wav,20.342,28.447,SPEAKER_01," This debate and the next three, two presidential, one vice presidential, are sponsored by the Commission on Presidential Debates.",0.41805473,0.1,0.27,0.41,"[{'Emotion': 'anger', 'Score': '98.2%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '1.2%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",anger,"['debate', 'one', 'vice', 'presidential', 'commission', 'presidential', 'debates']",debate,False
audio2.wav,28.988,36.512,SPEAKER_01,Tonight's 90 minutes will be about domestic issues and will follow a format designed by the Commission.,0.5097283,-0.06,0.29,0.47,"[{'Emotion': 'anger', 'Score': '97.9%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '1.5%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",anger,"['tonight', 's', '90', 'minutes', 'domestic', 'issues', 'format', 'commission']",domestic,True
audio3.wav,37.113,47.62,SPEAKER_01,"There will be six roughly 15-minute segments with two-minute answers for the first question, then open discussion for the remainder of each segment.",0.5107132,0.15,0.25,0.41,"[{'Emotion': 'anger', 'Score': '73.7%'}, {'Emotion': 'disgust', 'Score': '0.9%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '24.5%'}, {'Emotion': 'sadness', 'Score': '0.7%'}]",anger,"['six', 'roughly', '15', 'minute', 'segments', 'two', 'minute', 'answers', 'first', 'question', 'open', 'discussion', 'remainder', 'segment']",six,True
audio4.wav,48.32,62.914,SPEAKER_01," Thousands of people offered suggestions on segment subjects or questions via the internet and other means, but I made the final selections, and for the record, they were not submitted for approval to the Commission or the candidates.",0.5713608,0.03,0.3,0.42,"[{'Emotion': 'anger', 'Score': '22.8%'}, {'Emotion': 'disgust', 'Score': '4.3%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '72.4%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",happiness,"['thousands', 'people', 'suggestions', 'segment', 'subjects', 'questions', 'internet', 'means', 'final', 'selections', 'record', 'approval', 'commission', 'candidates']",thousands,True
audio5.wav,63.695,79.737,SPEAKER_01," The segments, as I announced in advance, will be three on the economy, and one each on health care, the role of government, and governing, with an emphasis throughout on differences, specifics, and choices.",0.5612122,0.17,0.26,0.45,"[{'Emotion': 'anger', 'Score': '78.0%'}, {'Emotion': 'disgust', 'Score': '0.8%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '20.6%'}, {'Emotion': 'sadness', 'Score': '0.6%'}]",anger,"['segments', 'advance', 'economy', 'health', 'care', 'role', 'government', 'governing', 'emphasis', 'differences', 'specifics', 'choices']",care,True
audio6.wav,80.518,84.379,SPEAKER_01, Both candidates will also have two-minute closing statements.,0.47732854,0.09,0.11,0.3,"[{'Emotion': 'anger', 'Score': '94.4%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '4.9%'}, {'Emotion': 'sadness', 'Score': '0.5%'}]",anger,"['candidates', 'two', 'minute', 'closing', 'statements']",candidates,True
audio7.wav,84.999,88.28,SPEAKER_01,The audience here in the hall has promised to remain silent.,0.61083734,-0.24,0.19,0.31,"[{'Emotion': 'anger', 'Score': '98.1%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '1.4%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",anger,"['audience', 'hall']",hall,True
audio8.wav,89.04,99.043,SPEAKER_01,"No cheers, applause, boos, hisses, among other noisy, distracting things, so we may all concentrate on what the candidates have to say.",0.6504141,-0.07,0.42,0.52,"[{'Emotion': 'anger', 'Score': '18.0%'}, {'Emotion': 'disgust', 'Score': '2.9%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '78.7%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",happiness,"['cheers', 'applause', 'boos', 'hisses', 'things', 'candidates']",candidates,True
audio9.wav,99.723,108.065,SPEAKER_01,"There is a noise exception right now, though, as we welcome President Obama and Governor Romney.",0.7554364,0.07,0.47,0.59,"[{'Emotion': 'anger', 'Score': '81.0%'}, {'Emotion': 'disgust', 'Score': '0.7%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '17.4%'}, {'Emotion': 'sadness', 'Score': '0.7%'}]",anger,"['noise', 'exception', 'president', 'obama', 'governor', 'romney']",exception,True
audio10.wav,129.062,129.362,SPEAKER_02, Jim.,0.17118447,-0.04,0.32,0.22,"[{'Emotion': 'anger', 'Score': '87.5%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.9%'}, {'Emotion': 'happiness', 'Score': '10.8%'}, {'Emotion': 'sadness', 'Score': '0.7%'}]",anger,['jim'],jim,False
audio11.wav,135.585,137.486,SPEAKER_01,"Gentlemen, welcome to you both.",0.3907671,0.75,0.14,0.25,"[{'Emotion': 'anger', 'Score': '2.2%'}, {'Emotion': 'disgust', 'Score': '5.0%'}, {'Emotion': 'fear', 'Score': '5.8%'}, {'Emotion': 'happiness', 'Score': '86.9%'}, {'Emotion': 'sadness', 'Score': '0.0%'}]",happiness,[],[],False
audio12.wav,138.207,143.569,SPEAKER_01,"Let's start the economy, segment one, and let's begin with jobs.",0.5402629,0.04,0.09,0.27,"[{'Emotion': 'anger', 'Score': '2.5%'}, {'Emotion': 'disgust', 'Score': '53.3%'}, {'Emotion': 'fear', 'Score': '0.4%'}, {'Emotion': 'happiness', 'Score': '43.4%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",neutral,"['s', 'economy', 's', 'jobs']",jobs,True
audio13.wav,144.53,154.535,SPEAKER_01,What are the major differences between the two of you about how you would go about creating new jobs?,0.45590228,0.12,-0.02,0.18,"[{'Emotion': 'anger', 'Score': '0.3%'}, {'Emotion': 'disgust', 'Score': '86.8%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '12.3%'}, {'Emotion': 'sadness', 'Score': '0.5%'}]",disgust,"['major', 'differences', 'new', 'jobs']",jobs,True
audio14.wav,155.776,156.456,SPEAKER_01, You have two minutes.,0.34362307,0.06,0.37,0.38,"[{'Emotion': 'anger', 'Score': '98.1%'}, {'Emotion': 'disgust', 'Score': '0.0%'}, {'Emotion': 'fear', 'Score': '0.3%'}, {'Emotion': 'happiness', 'Score': '1.3%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",anger,"['two', 'minutes']",two,False
audio15.wav,156.556,158.096,SPEAKER_01,Each of you have two minutes to start.,0.38499877,0.07,0.14,0.24,"[{'Emotion': 'anger', 'Score': '1.7%'}, {'Emotion': 'disgust', 'Score': '2.3%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '95.8%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",happiness,"['two', 'minutes']",two,False
audio16.wav,158.637,159.937,SPEAKER_01,A coin toss is determined.,0.37297514,-0.08,0.02,0.1,"[{'Emotion': 'anger', 'Score': '95.9%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '3.5%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",anger,"['coin', 'toss']",coin,False
audio17.wav,159.957,161.197,SPEAKER_01,"Mr. President, you go first.",0.044323094,0.13,-0.03,0.07,"[{'Emotion': 'anger', 'Score': '0.1%'}, {'Emotion': 'disgust', 'Score': '57.3%'}, {'Emotion': 'fear', 'Score': '0.9%'}, {'Emotion': 'happiness', 'Score': '0.7%'}, {'Emotion': 'sadness', 'Score': '41.1%'}]",neutral,[],[],False
audio18.wav,161.217,163.978,SPEAKER_00,"The President Well, thank you very much, Jim, for this opportunity.",0.31239703,0.5,0.18,0.33,"[{'Emotion': 'anger', 'Score': '0.2%'}, {'Emotion': 'disgust', 'Score': '71.1%'}, {'Emotion': 'fear', 'Score': '2.4%'}, {'Emotion': 'happiness', 'Score': '1.7%'}, {'Emotion': 'sadness', 'Score': '24.7%'}]",disgust,"['president', 'opportunity']",opportunity,False
audio19.wav,164.018,167.638,SPEAKER_00,I want to thank Governor Romney and the University of Denver for your hospitality.,0.48904312,0.54,0.3,0.46,"[{'Emotion': 'anger', 'Score': '4.3%'}, {'Emotion': 'disgust', 'Score': '8.8%'}, {'Emotion': 'fear', 'Score': '0.4%'}, {'Emotion': 'happiness', 'Score': '86.0%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",happiness,"['governor', 'romney', 'university', 'denver', 'hospitality']",hospitality,True
audio20.wav,168.398,177.94,SPEAKER_00,"There are a lot of points I want to make tonight, but the most important one is that 20 years ago I became the luckiest man on Earth because Michelle Obama agreed to marry me.",0.5629612,0.07,0.23,0.39,"[{'Emotion': 'anger', 'Score': '0.1%'}, {'Emotion': 'disgust', 'Score': '97.7%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '1.6%'}, {'Emotion': 'sadness', 'Score': '0.5%'}]",disgust,"['lot', 'points', 'important', 'one', 'luckiest', 'man', 'earth', 'michelle', 'obama']",important,True
