name,start,end,speaker,text,amplitude,val,act,dom,disc_emo,emo_class,substantivos,topic,loud_voice
audio0.wav,6.92,7.26,SPEAKER_01, Excuse me?,0.019804008,-0.06,-0.26,-0.15,"[{'Emotion': 'anger', 'Score': '0.1%'}, {'Emotion': 'disgust', 'Score': '69.5%'}, {'Emotion': 'fear', 'Score': '8.2%'}, {'Emotion': 'happiness', 'Score': '4.9%'}, {'Emotion': 'sadness', 'Score': '17.2%'}]",fear,[],[],False
audio1.wav,7.26,10.582,SPEAKER_00,Do you have your forms?,0.0657626,-0.12,-0.38,-0.25,"[{'Emotion': 'anger', 'Score': '0.0%'}, {'Emotion': 'disgust', 'Score': '97.6%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '1.5%'}, {'Emotion': 'sadness', 'Score': '0.7%'}]",disgust,['forms'],forms,False
audio2.wav,10.582,11.483,SPEAKER_01,Yeah.,0.050585628,0.02,0.04,0.15,"[{'Emotion': 'anger', 'Score': '96.4%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.4%'}, {'Emotion': 'happiness', 'Score': '2.8%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",anger,[],[],False
audio3.wav,11.483,16.947,SPEAKER_00,Let me see them.,0.019193735,-0.24,-0.16,-0.16,"[{'Emotion': 'anger', 'Score': '0.1%'}, {'Emotion': 'disgust', 'Score': '18.2%'}, {'Emotion': 'fear', 'Score': '10.2%'}, {'Emotion': 'happiness', 'Score': '0.3%'}, {'Emotion': 'sadness', 'Score': '71.2%'}]",sadness,[],[],False
audio4.wav,16.947,18.007,SPEAKER_01,Is there a problem?,0.033667315,-0.13,-0.14,-0.01,"[{'Emotion': 'anger', 'Score': '0.4%'}, {'Emotion': 'disgust', 'Score': '5.1%'}, {'Emotion': 'fear', 'Score': '3.1%'}, {'Emotion': 'happiness', 'Score': '91.3%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",happiness,['problem'],problem,False
audio5.wav,18.007,19.769,SPEAKER_00,Who told you to get in this line?,0.13221915,-0.3,0.01,0.15,"[{'Emotion': 'anger', 'Score': '0.7%'}, {'Emotion': 'disgust', 'Score': '31.6%'}, {'Emotion': 'fear', 'Score': '3.8%'}, {'Emotion': 'happiness', 'Score': '63.4%'}, {'Emotion': 'sadness', 'Score': '0.6%'}]",happiness,['line'],line,False
audio6.wav,19.769,20.109,SPEAKER_01,You did.,0.04941317,-0.22,0.28,0.31,"[{'Emotion': 'anger', 'Score': '9.5%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.8%'}, {'Emotion': 'happiness', 'Score': '89.6%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",anger,[],[],False
audio7.wav,20.109,22.53,SPEAKER_01,No.,0.0,-0.55,-0.05,-0.07,"[{'Emotion': 'anger', 'Score': '97.8%'}, {'Emotion': 'disgust', 'Score': '0.0%'}, {'Emotion': 'fear', 'Score': '0.6%'}, {'Emotion': 'happiness', 'Score': '1.3%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",anger,[],[],False
audio8.wav,22.53,24.031,SPEAKER_01,"You were standing at the beginning, you direct me.",0.1036225,0.09,0.37,0.4,"[{'Emotion': 'anger', 'Score': '1.7%'}, {'Emotion': 'disgust', 'Score': '0.7%'}, {'Emotion': 'fear', 'Score': '77.8%'}, {'Emotion': 'happiness', 'Score': '19.5%'}, {'Emotion': 'sadness', 'Score': '0.2%'}]",fear,['beginning'],beginning,False
audio9.wav,24.031,28.054,SPEAKER_00,"Okay, but I didn't tell you to get in this line if you're filling out this particular form.",0.20016876,-0.15,0.22,0.28,"[{'Emotion': 'anger', 'Score': '0.5%'}, {'Emotion': 'disgust', 'Score': '34.3%'}, {'Emotion': 'fear', 'Score': '0.3%'}, {'Emotion': 'happiness', 'Score': '64.2%'}, {'Emotion': 'sadness', 'Score': '0.7%'}]",happiness,"['line', 'particular', 'form']",form,False
