name,emotion,emotionDim,transcription
SPEAKER_01-210440.wav,"[{""score"":0.6365862488746643;""label"":""neu""};{""score"":0.2932139039039612;""label"":""sad""};{""score"":0.06776541471481323;""label"":""hap""};{""score"":0.002434362890198827;""label"":""ang""}]",arousal: 0.11007747 valence: 0.22394465, of your last class of students from Tufts Good.
SPEAKER_00-82510.wav,"[{""score"":0.7679800987243652;""label"":""sad""};{""score"":0.20770344138145447;""label"":""neu""};{""score"":0.024312397465109825;""label"":""hap""};{""score"":4.047701622766908e-06;""label"":""ang""}]",arousal: 0.4432015 valence: 0.33330336," So it was a blessing I guess, but anyway, weird stuff."
SPEAKER_01-77785.wav,"[{""score"":0.9971147775650024;""label"":""hap""};{""score"":0.002839923370629549;""label"":""neu""};{""score"":4.3207423004787415e-05;""label"":""sad""};{""score"":2.1528228444367414e-06;""label"":""ang""}]",arousal: 0.30440053 valence: 0.35729387, That was you.
SPEAKER_01-31379.wav,"[{""score"":0.8812762498855591;""label"":""sad""};{""score"":0.09995340555906296;""label"":""hap""};{""score"":0.018736327067017555;""label"":""neu""};{""score"":3.400228524697013e-05;""label"":""ang""}]",arousal: 0.5135717 valence: 0.5225272, We're getting old.
SPEAKER_01-185903.wav,"[{""score"":0.7288289070129395;""label"":""sad""};{""score"":0.1545116901397705;""label"":""neu""};{""score"":0.11664558202028275;""label"":""hap""};{""score"":1.3812977158522699e-05;""label"":""ang""}]",arousal: 0.19702965 valence: 0.29153955, How the information is.
SPEAKER_00-42820.wav,"[{""score"":0.5712181925773621;""label"":""sad""};{""score"":0.2723976671695709;""label"":""neu""};{""score"":0.15636885166168213;""label"":""hap""};{""score"":1.5257758605002891e-05;""label"":""ang""}]",arousal: 0.38834226 valence: 0.26558945," Just had bad luck, I guess, is all you can say."
SPEAKER_00-6134.wav,"[{""score"":0.5959374904632568;""label"":""sad""};{""score"":0.3745684325695038;""label"":""neu""};{""score"":0.029451288282871246;""label"":""hap""};{""score"":4.2805171688087285e-05;""label"":""ang""}]",arousal: 0.13768476 valence: 0.22679581," No, no."
SPEAKER_00-2928.wav,"[{""score"":0.9511400461196899;""label"":""hap""};{""score"":0.027860376983880997;""label"":""neu""};{""score"":0.020999323576688766;""label"":""sad""};{""score"":3.310876763862325e-07;""label"":""ang""}]",arousal: 0.25512144 valence: 0.30352846, No. Not even Chris.
SPEAKER_01-206305.wav,"[{""score"":0.8991243243217468;""label"":""neu""};{""score"":0.08635145425796509;""label"":""sad""};{""score"":0.014518417418003082;""label"":""hap""};{""score"":5.829812380397925e-06;""label"":""ang""}]",arousal: 0.10710643 valence: 0.21479683, What's his last crop of tufties?
SPEAKER_00-263360.wav,"[{""score"":0.9764493703842163;""label"":""neu""};{""score"":0.020319461822509766;""label"":""hap""};{""score"":0.0032220184803009033;""label"":""sad""};{""score"":9.147011951426975e-06;""label"":""ang""}]",arousal: 0.4260615 valence: 0.41244665," Well, yeah, she's teaching you alright"
SPEAKER_00-244156.wav,"[{""score"":0.5728657841682434;""label"":""neu""};{""score"":0.4191521406173706;""label"":""sad""};{""score"":0.007945329882204533;""label"":""hap""};{""score"":3.680854933918454e-05;""label"":""ang""}]",arousal: 0.526718 valence: 0.52552414," Yeah, well she just had a baby a couple"
SPEAKER_01-162700.wav,"[{""score"":0.6927937269210815;""label"":""hap""};{""score"":0.3071208894252777;""label"":""neu""};{""score"":5.640332892653532e-05;""label"":""sad""};{""score"":2.894815588661004e-05;""label"":""ang""}]",arousal: 0.38451853 valence: 0.3770459, Yeah.
SPEAKER_00-213578.wav,"[{""score"":0.6551112532615662;""label"":""sad""};{""score"":0.24535301327705383;""label"":""neu""};{""score"":0.0958300456404686;""label"":""hap""};{""score"":0.003705622162669897;""label"":""ang""}]",arousal: 0.51419747 valence: 0.23515414," Yeah, well, they're still here."
SPEAKER_01-260795.wav,"[{""score"":0.975086510181427;""label"":""hap""};{""score"":0.02331065572798252;""label"":""neu""};{""score"":0.0015101692406460643;""label"":""sad""};{""score"":9.266774577554315e-05;""label"":""ang""}]",arousal: 0.14949131 valence: 0.32436126, They are now living in Rhode Island. You probably knew that.
SPEAKER_01-265402.wav,"[{""score"":0.46032148599624634;""label"":""neu""};{""score"":0.4383465051651001;""label"":""sad""};{""score"":0.1013055369257927;""label"":""hap""};{""score"":2.637772740854416e-05;""label"":""ang""}]",arousal: 0.0308889 valence: 0.20645243," Yeah, and it was a very nice letter because it sounded like she went through very similar things that I did, you know, I went from Chicago to UCSD to here and it's just such an intellectual let down and she went from Penn to Columbia to URI and she said the students are just, you know, they don't care and they're not very good and all of a sudden she's getting conference papers rejected and she thinks it's the affiliation because she doesn't think the quality of her work is changing."
SPEAKER_01-176487.wav,"[{""score"":0.619731068611145;""label"":""sad""};{""score"":0.22267767786979675;""label"":""hap""};{""score"":0.1575898826122284;""label"":""neu""};{""score"":1.279594130210171e-06;""label"":""ang""}]",arousal: 0.35618246 valence: 0.39327994, Is that like water on the knee?
SPEAKER_00-240680.wav,"[{""score"":0.5372673273086548;""label"":""neu""};{""score"":0.45821040868759155;""label"":""hap""};{""score"":0.004460161551833153;""label"":""sad""};{""score"":6.211570143932477e-05;""label"":""ang""}]",arousal: 0.40075064 valence: 0.42182633, Got a card from you remember Amy Gleason. Yeah
SPEAKER_00-235803.wav,"[{""score"":0.8850307464599609;""label"":""neu""};{""score"":0.11107375472784042;""label"":""hap""};{""score"":0.0038880864158272743;""label"":""sad""};{""score"":7.437407475663349e-06;""label"":""ang""}]",arousal: 0.3477402 valence: 0.33772, About two weeks ago maybe.
SPEAKER_00-62800.wav,"[{""score"":0.760198175907135;""label"":""hap""};{""score"":0.1673480123281479;""label"":""neu""};{""score"":0.07231437414884567;""label"":""sad""};{""score"":0.000139446827233769;""label"":""ang""}]",arousal: 0.18182166 valence: 0.35572407, There was some content.
SPEAKER_00-180098.wav,"[{""score"":0.7905815839767456;""label"":""neu""};{""score"":0.13127371668815613;""label"":""hap""};{""score"":0.07813967019319534;""label"":""sad""};{""score"":5.054606390331173e-06;""label"":""ang""}]",arousal: 0.3372413 valence: 0.3222048," Well, that's what happened to develop because of irritation, because of the inflammation."
SPEAKER_01-253268.wav,"[{""score"":0.5108059644699097;""label"":""neu""};{""score"":0.3849319815635681;""label"":""hap""};{""score"":0.10418190062046051;""label"":""sad""};{""score"":8.022512338357046e-05;""label"":""ang""}]",arousal: 0.15173638 valence: 0.32644984, And they see Amy Gleason on occasion. And so I think they tell me that. Have you heard from Ron Endorff?
SPEAKER_00-195421.wav,"[{""score"":0.5346323847770691;""label"":""sad""};{""score"":0.3993188738822937;""label"":""neu""};{""score"":0.06604785472154617;""label"":""hap""};{""score"":8.339596320183773e-07;""label"":""ang""}]",arousal: 0.426004 valence: 0.3432048, We had a big trip up in Berlin and we did a lot of fast walking and stuff like that. That shouldn't be a big deal.
SPEAKER_01-232698.wav,"[{""score"":0.4691382646560669;""label"":""neu""};{""score"":0.265925794839859;""label"":""hap""};{""score"":0.2554721534252167;""label"":""ang""};{""score"":0.009463784284889698;""label"":""sad""}]",arousal: 0.42991412 valence: 0.43138525, Wow.
SPEAKER_00-20107.wav,"[{""score"":0.8466371893882751;""label"":""sad""};{""score"":0.11070530861616135;""label"":""hap""};{""score"":0.04265487939119339;""label"":""neu""};{""score"":2.594054194560158e-06;""label"":""ang""}]",arousal: 0.38185197 valence: 0.35259926," My sister passed away, yeah. I don't know if she spoke to me before that or when that was happening or..."
SPEAKER_01-55358.wav,"[{""score"":0.7427142262458801;""label"":""sad""};{""score"":0.24046292901039124;""label"":""neu""};{""score"":0.016780851408839226;""label"":""hap""};{""score"":4.204679135000333e-05;""label"":""ang""}]",arousal: 0.21986057 valence: 0.32468998," that that hadn't happened. Had that happened already? No, that had not happened."
SPEAKER_00-52034.wav,"[{""score"":0.6716077923774719;""label"":""neu""};{""score"":0.29900333285331726;""label"":""hap""};{""score"":0.029375506564974785;""label"":""sad""};{""score"":1.3433243111649062e-05;""label"":""ang""}]",arousal: 0.52499783 valence: 0.5292826," And out of Chris's aunt, Mamie up in Maine, passed away."
SPEAKER_00-92686.wav,"[{""score"":0.5598154067993164;""label"":""neu""};{""score"":0.350797176361084;""label"":""hap""};{""score"":0.08926594257354736;""label"":""sad""};{""score"":0.0001214899675687775;""label"":""ang""}]",arousal: 0.22871399 valence: 0.30394486," Well, I don't know. I have to go next week to see, check out, you know, to see again."
SPEAKER_00-108464.wav,"[{""score"":0.7853255271911621;""label"":""neu""};{""score"":0.17256657779216766;""label"":""sad""};{""score"":0.042088624089956284;""label"":""hap""};{""score"":1.914558743010275e-05;""label"":""ang""}]",arousal: 0.2546279 valence: 0.21567903, for a while and then I'm not exactly sure what it is now but I'll know in a couple of days.
SPEAKER_01-3485.wav,"[{""score"":0.936715841293335;""label"":""hap""};{""score"":0.03587711602449417;""label"":""sad""};{""score"":0.02740614116191864;""label"":""neu""};{""score"":8.993430355985765e-07;""label"":""ang""}]",arousal: 0.24576493 valence: 0.28700387," Well, I'm Chris."
SPEAKER_00-66293.wav,"[{""score"":0.7352291941642761;""label"":""sad""};{""score"":0.17100806534290314;""label"":""hap""};{""score"":0.09375392645597458;""label"":""neu""};{""score"":8.788750164967496e-06;""label"":""ang""}]",arousal: 0.46551824 valence: 0.45922711," No, she's been, she was not doing well. She had a brain tumor and operated on and things weren't going well. I actually got to see her, I guess, a day before she died. I mean, she didn't know that I was there. Yeah, that was you. Yeah, she was just not in."
SPEAKER_01-249826.wav,"[{""score"":0.7785136103630066;""label"":""neu""};{""score"":0.2183382660150528;""label"":""hap""};{""score"":0.0017366728279739618;""label"":""sad""};{""score"":0.0014114318182691932;""label"":""ang""}]",arousal: 0.084114455 valence: 0.3890479," Okay, I just got a card from Ronan Doris."
SPEAKER_01-215030.wav,"[{""score"":0.6356239318847656;""label"":""hap""};{""score"":0.29223987460136414;""label"":""neu""};{""score"":0.05278394743800163;""label"":""sad""};{""score"":0.019352227449417114;""label"":""ang""}]",arousal: 0.20171908 valence: 0.34808525," Right, but they're winding down so you know that really well by this point."
SPEAKER_01-194797.wav,"[{""score"":0.9920123219490051;""label"":""neu""};{""score"":0.00557881873100996;""label"":""sad""};{""score"":0.0023340564221143723;""label"":""hap""};{""score"":7.479921623598784e-05;""label"":""ang""}]",arousal: 0.3987453 valence: 0.3294187, Wow.
SPEAKER_00-175070.wav,"[{""score"":0.579031229019165;""label"":""neu""};{""score"":0.4138024151325226;""label"":""sad""};{""score"":0.007164025213569403;""label"":""hap""};{""score"":2.3572470126964618e-06;""label"":""ang""}]",arousal: 0.33038422 valence: 0.292892, take some pills and stuff and that's just the pain when
SPEAKER_01-113932.wav,"[{""score"":0.5057592391967773;""label"":""sad""};{""score"":0.3730946481227875;""label"":""hap""};{""score"":0.12101514637470245;""label"":""neu""};{""score"":0.00013097969349473715;""label"":""ang""}]",arousal: 0.115882404 valence: 0.29277292, So are you having blurred vision or...?
SPEAKER_00-116733.wav,"[{""score"":0.46890729665756226;""label"":""hap""};{""score"":0.45996740460395813;""label"":""sad""};{""score"":0.07112407684326172;""label"":""neu""};{""score"":1.241927861883596e-06;""label"":""ang""}]",arousal: 0.3598369 valence: 0.30316404," Oh yeah, yeah, sure, right eye is not so great. And we got back to about 80%. You know, it was a detached retina."
SPEAKER_01-244966.wav,"[{""score"":0.615119457244873;""label"":""hap""};{""score"":0.2739815413951874;""label"":""neu""};{""score"":0.11088436841964722;""label"":""sad""};{""score"":1.4606032891606446e-05;""label"":""ang""}]",arousal: 0.35877687 valence: 0.40527415, She just had maybe a couple of... I think I heard that.
